YEAR,metric,Central American,Cuban,Mexican,Other Latino,Puerto Rican,South American,Total,Dominican
1910,pct_citizen,28.591749644381224,31.963288108539505,16.134427809139417,33.92454249185259,42.515566625155664,37.93814432989691,20.251720301327342,NA
1910,pct_first_papers,0,9.324288374567704,2.828910887488978,8.792930559037353,10.012453300124532,3.4364261168384878,4.052186607516176,NA
1920,pct_citizen,25.097941388244774,26.934001365718373,5.602238032481893,17.627714081147452,34.1983697561661,38.10515557183902,9.049382712631777,25.108499536743548
1920,pct_first_papers,13.475752301362773,6.208735771321088,1.163982088756753,6.912773952137169,27.688637481554327,11.383543882801323,2.8538115303965164,0
1940,pct_citizen,47.65589440145653,37.69059589549163,18.598675698302763,53.812535728115954,84.10174880763115,63.44458650158132,27.36968051449017,NA
1940,pct_first_papers,9.103322712790169,8.060661007170527,5.057614734759114,10.99964963395969,28.457869634340224,9.481192382746787,6.334947826186998,NA
1980,pct_citizen,NA,45.82944288826642,27.24045001497198,30.27636251350934,72.05673758865248,NA,31.62072615158069,NA
1980,pct_first_papers,NA,0,0,0,0,NA,0,NA
2000,pct_citizen,27.49142171338242,61.04616998830487,23.506976682961216,34.941257184712455,56.6178982547345,37.44862762366065,29.141349054978516,35.768699517612745
2000,pct_first_papers,0,0,0,0,0,0,0,0
2005,pct_citizen,26.973878664832686,62.06666652069863,23.188057841195022,46.833939274394915,69.68696445136236,39.02204924689334,29.255931940407553,46.16389762272163
2005,pct_first_papers,0,0,0,0,0,0,0,0
2010,pct_citizen,30.07969251371528,55.80042999738587,24.567899891094985,54.181814057156465,68.67709906494007,44.32713998724629,31.183562798454417,48.90322886442968
2010,pct_first_papers,0,0,0,0,0,0,0,0
2015,pct_citizen,33.67472396639423,59.649554186586485,30.11486761545902,51.704876566936555,67.41465234656077,52.67662597517714,36.998776937317935,55.22795821130393
2015,pct_first_papers,0,0,0,0,0,0,0,0
2022,pct_citizen,35.47583606814607,64.99170564306779,37.95245459997962,51.94961681761305,67.8301334948921,53.27829890320648,43.31533733452482,58.38740110436947
2022,pct_first_papers,0,0,0,0,0,0,0,0
