YEAR,Central American,Cuban,Mexican,Other Latino,Puerto Rican,South American,Total,Dominican,Central American_se,Cuban_se,Mexican_se,Other Latino_se,Puerto Rican_se,South American_se,Total_se,Dominican_se
1940,3700,2500,400,2500,2700,4000,600,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,16250,13750,8750,13750,13750,16250,8750,11250,NA,NA,NA,NA,NA,NA,NA,NA
1970,22500,18750,11250,18750,18750,22500,13750,30000,NA,NA,NA,NA,NA,NA,NA,NA
1980,NA,57500,42499,52500,42499,NA,47500,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,137500,137500,95000,95000,137500,137500,112500,137500,NA,NA,NA,NA,NA,NA,NA,NA
2001,137500,137500,95000,112500,137500,162500,112500,162500,NA,NA,NA,NA,NA,NA,NA,NA
2005,225000,275000,137500,162500,225000,275000,187500,350000,13252.65676732047,5590.169943749474,0,0,9134.575347116684,0,2795.084971874737,8385.254915624211
2010,190000,200000,130000,180000,185000,250000,150000,220000,2139.2948086883707,0,0,1609.8981805998585,2460.285822646207,0,0,8032.912913347046
2011,170000,180000,125000,168000,175000,225000,150000,200000,2270.3022159833113,2039.1345272573767,0,2234.3336446115286,1927.1133393718208,3905.854093861117,426.7554957637417,0
2015,200000,225000,150000,200000,190000,260000,170000,215000,3613.529429340359,3457.151823998653,111.80339887498948,1755.8221414497152,1953.2105993900454,3799.8792452499083,0,6014.697189259075
2016,220000,240000,150000,200000,200000,280000,180000,230000,2433.8072482263233,2695.049376030151,0,0,2143.580348123382,1911.8219820734462,0,4845.982284717668
2019,260000,300000,200000,240000,230000,310000,223000,250000,3348.530756592823,791.4695512986658,335.4101966249685,3996.6560389494225,2050.6250976566243,6192.980407615862,2086.575536220635,4903.741144798518
2022,350000,375000,280000,320000,310000,400000,300000,350000,0,4062.62292900672,2113.0995890912764,4593.266949113973,5232.565989592777,2351.911423028544,0,3896.11945856939
2023,350000,400000,300000,345000,330000,400000,320000,370000,0,0,0,5062.254838570744,3644.8116410500797,0,0,7819.472205310295
