YEAR,Midwest,Northeast,South,Total,West,Midwest_se,Northeast_se,South_se,Total_se,West_se
1910,37.503895294484266,26.00418618558756,26.1993690851735,37.150959211942144,50.631637015584054,0,0,0,0,0
1940,30.36706349206349,13.233704591381175,36.10103885564866,34.18801886686759,40.05869778258463,0,0,0,0,0
1960,39.56545445924802,15.896067061426384,56.277890014752394,44.8150283616342,52.98563327235747,0,0,0,0,0
1970,41.23711340206186,15.977361776229865,55.3854983738282,42.983565107458915,50.53112648221344,0,0,0,0,0
1980,45.01956063797773,20.368722186904005,54.543197616683216,44.11478962708318,47.2876213592233,0,0,0,0,0
2000,48.517643972189425,27.111183567003586,51.220563336924734,44.61611369303097,45.261807050142366,0,0,0,0,0
2001,49.55126012900529,27.37203558673118,52.20554163643618,45.43383004361857,46.04338548342204,0,0,0,0,0
2005,52.65603105407186,29.831494379525083,54.17885068922364,48.230576526671136,48.95451994462647,0.3385374223460197,0.23283311107996676,0.14653101775560062,0.09625661223878514,0.14227755060020808
2010,52.06183718121929,29.008685193560485,54.2605267507316,47.31541626252646,46.75328489013741,0.2789955674805743,0.18959012073157042,0.14184205375336406,0.0845458562834388,0.12864661989098722
2011,50.50358871750656,29.364220767158464,53.13332145656248,46.46596836612966,45.82287422246619,0.2955976687983286,0.19682441914301887,0.13168140807047446,0.07910390406904214,0.12860337690443047
2015,49.03971774178726,29.18622242457721,51.59750971723684,45.290424888087536,44.5233051442305,0.31434206720455976,0.17887268297223904,0.11092003827665513,0.08117020787462412,0.13234642861202625
2016,49.55064758029127,29.282342263292584,51.52955295958345,45.5972233767906,45.161305972547844,0.2950768813871117,0.16722370300227757,0.14613521074912222,0.08997564612714848,0.1326866192639118
2019,52.18256173182495,32.21450211918803,54.07048549945162,48.106636236264144,47.38450787783645,0.2614377339631581,0.20775985678802628,0.11371816600734148,0.07163593546028525,0.13803062896516657
2022,55.87964138647466,35.255215554426876,56.97410678068912,51.102280912122936,49.99768085651526,0.2582933807219618,0.1838210437769012,0.1260282495472466,0.07491590828298096,0.12156036834837648
2023,56.68559223380247,34.725007509156384,56.837853706337626,51.008833134804554,49.760693666743634,0.22105102369802784,0.18780266253092584,0.11379241575595471,0.07249688103001406,0.12175020016273967
