YEAR,Black,White,Black_se,White_se
1980,10925,17840,NA,NA
2000,28250,43800,NA,NA
2001,29400,45000,NA,NA
2005,30000,50000,0,0
2010,33300,54000,127.0148376660844,11.180339887498949
2011,32600,54400,129.6244233901949,62.89319357027718
2015,36000,61000,61.33212654747464,15.710997518871126
2016,38000,62740,45.571192043919545,93.34297719917157
2019,43200,70900,176.5505898021688,72.93095399508299
2022,49500,77000,244.5802073923834,101.12022860393162
2023,52800,81500,249.08436753818722,104.70505591506657
