YEAR,rank,OCC_Cuban,OCC_Dominican,OCC_Mexican,OCC_Other Latino,OCC_South American,OCC_Total,OCC_Central American,OCC_Puerto Rican,count_Cuban,count_Dominican,count_Mexican,count_Other Latino,count_South American,count_Total,count_Central American,count_Puerto Rican
1850,1,97,16,5,5,39,5,NA,NA,202.95999999999998,99.97,9701.410000000009,2583.0299999999997,127.32,12284.439999999997,NA,NA
1850,2,65,48,39,39,29,39,NA,NA,105.49,99.97,6013.280000000003,871.41,105.56,7012.010000000003,NA,NA
1850,3,157,97,207,1,97,207,NA,NA,99.97,96.36,5616.290000000002,574.6400000000001,89.33,5884.280000000002,NA,NA
1910,1,426,960,196,12,196,196,954,15,6010,100,37096,3717,503,40306,200,2012
1910,2,954,NA,12,426,592,12,10,12,702,NA,35421,2709,300,39639,101,400
1910,3,994,NA,640,10,150,640,82,522,604,NA,33886,2105,201,34988,101,300
1940,1,496,NA,866,496,496,866,496,496,4231,NA,119428,15761,4963,125611,1200,6194
1940,2,156,NA,988,988,988,988,770,988,1970,NA,97038,10370,2690,116412,470,4009
1940,3,988,NA,496,156,156,496,988,770,1848,NA,33466,5297,1964,65815,457,2652
1950,1,690,690,820,690,690,690,690,690,7783,1234,141524,15969,5022,166721,3272,48313
1950,2,390,390,970,970,290,820,350,790,2777,330,111106,8212,2960,148372,1187,10117
1950,3,290,350,690,290,390,970,490,390,1856,231,85128,7503,2444,129061,957,7170
1960,1,990,990,990,990,990,990,990,990,74919,8158,2379091,120247,95740,3308810,57071,573584
1960,2,775,775,902,775,775,775,775,775,14344,2489,201726,11356,7176,291397,4880,117468
1960,3,705,995,985,290,290,902,995,995,5079,2292,143947,8273,5774,212085,4284,49909
1970,1,663,663,822,245,663,822,372,663,27800,6200,172400,2300,10000,182200,3900,33800
1970,2,283,912,283,283,372,663,663,692,10800,1400,57000,1800,8500,126700,3400,18700
1970,3,245,695,903,663,245,283,984,643,10400,1300,56900,1800,5500,92800,3400,17000
1980,1,744,NA,479,19,NA,479,NA,779,25600,NA,222200,55700,NA,246200,NA,39800
1980,2,19,NA,453,744,NA,453,NA,785,25300,NA,141100,53300,NA,228900,NA,29300
1980,3,313,NA,785,313,NA,779,NA,453,18300,NA,132900,53100,NA,209000,NA,27700
2000,1,570,472,605,476,423,472,423,570,35954,17121,406221,57408,42199,558975,75926,74468
2000,2,913,476,402,472,476,402,402,472,27166,16987,393912,52713,35133,511101,49914,62401
2000,3,476,422,472,570,570,423,626,422,20609,16391,353044,52158,30164,510708,47075,54330
2005,1,9130,4220,6260,4720,4230,4220,4230,4720,29619,38894,537969,61375,58263,728782,118495,72036
2005,2,5700,4720,4020,5700,4220,6260,4220,4220,25967,26076,476091,50524,46882,724544,93259,63396
2005,3,4220,3600,6050,4760,4760,4720,6260,5700,24319,23119,456472,46209,42753,702820,92190,61241
2009,1,9130,4220,4020,4720,4230,4720,4230,4720,32413,35593,576781,39071,68354,856616,154759,81458
2009,2,4760,3600,6260,4760,4220,4220,4220,4760,28629,34827,568207,34000,58860,831850,118880,72300
2009,3,4220,4720,4720,5700,4760,6260,6260,4220,24918,28190,562750,28728,53825,797273,116576,62651
2015,1,9130,3600,4720,4760,4230,4720,4230,4720,45302,43936,636148,45530,81362,970136,186526,95872
2015,2,4760,4220,4020,4720,4220,4220,6260,5240,34083,41006,619194,44543,70465,929023,144821,80909
2015,3,4220,4720,6260,4220,4760,6260,4220,4760,33362,40964,616750,34010,62226,901153,130634,78119
2022,1,9130,3601,6260,4720,4220,4720,6260,5240,73093,53904,654826,62412,87113,1041429,198062,95420
2022,2,440,4720,4720,440,440,6260,4230,4720,38917,45634,646051,60094,76234,1034706,168590,93493
2022,3,4220,9130,9130,5240,9130,9130,4220,9130,34259,45180,591558,52581,71052,1019578,146156,92779
