YEAR,rank,OCC_Cuban,OCC_Mexican,OCC_Other Latino,OCC_Puerto Rican,OCC_Total,OCC_Central American,OCC_Dominican,OCC_South American,count_Cuban,count_Mexican,count_Other Latino,count_Puerto Rican,count_Total,count_Central American,count_Dominican,count_South American
1980,1,744,479,19,779,479,NA,NA,NA,25600,222200,55700,39800,246200,NA,NA,NA
1980,2,19,453,744,785,453,NA,NA,NA,25300,141100,53300,29300,228900,NA,NA,NA
1980,3,313,785,313,453,779,NA,NA,NA,18300,132900,53100,27700,209000,NA,NA,NA
2000,1,570,605,476,570,472,423,472,423,35954,406221,57408,74468,558975,75926,17121,42199
2000,2,913,402,472,472,402,402,476,476,27166,393912,52713,62401,511101,49914,16987,35133
2000,3,476,472,570,422,423,626,422,570,20609,353044,52158,54330,510708,47075,16391,30164
2015,1,9130,4720,4760,4720,4720,4230,3600,4230,45302,636148,45530,95872,970136,186526,43936,81362
2015,2,4760,4020,4720,5240,4220,6260,4220,4220,34083,619194,44543,80909,929023,144821,41006,70465
2015,3,4220,6260,4220,4760,6260,4220,4720,4760,33362,616750,34010,78119,901153,130634,40964,62226
2016,1,9130,4720,4760,4720,4720,4230,4220,4230,53041,659255,43923,107968,1022285,191543,51884,75368
2016,2,4220,4020,4720,4760,4220,6260,3600,4220,32483,631287,42475,81988,932495,151912,46652,64581
2016,3,4760,6260,5240,4220,4230,4220,4720,4760,31178,615390,36517,75786,929079,140844,41776,61032
2019,1,9130,4720,4720,4720,4720,4230,4220,4220,69495,659381,53345,95737,1008970,190511,51861,72333
2019,2,4220,6260,4760,4220,6260,6260,3601,4230,38211,649866,40854,93273,995852,178327,51416,70429
2019,3,4760,4020,9130,4760,4220,4220,4720,440,33797,630739,40318,86079,977697,140065,39240,68795
2022,1,9130,6260,4720,5240,4720,6260,3601,4220,73093,654826,62412,95420,1041429,198062,53904,87113
2022,2,440,4720,440,4720,6260,4230,4720,440,38917,646051,60094,93493,1034706,168590,45634,76234
2022,3,4220,9130,5240,9130,9130,4220,9130,9130,34259,591558,52581,92779,1019578,146156,45180,71052
2023,1,9130,6260,4720,4720,6260,6260,3601,4220,82988,677039,57146,87803,1118389,230336,57338,92746
2023,2,440,4720,9130,5240,9130,4230,9130,440,45973,618369,51841,85433,1056243,180873,48818,88160
2023,3,4760,9130,440,9130,4720,4220,4220,4230,36716,596750,49301,80120,996993,164559,47439,86965
